pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj1,IBM Transitors in Abstract,IBM,1976,70s,,photo,CompAge_EvolIBM_1976,The Computer Age: The Evolution of IBM Computers,0,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,People and Gears,,1976,70s,,photo,CompAge_EvolIBM_1977,The Computer Age: The Evolution of IBM Computers,1,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj11,Bendix G15 Page 1,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_01,,10,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj101,Univac 9400 System Page 17,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_17,,100,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj101/full/250,/0/default.jpg",/img/derivatives/iiif/obj101/manifest.json
obj102,Univac 9400 System Page 18,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_18,,101,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj102/full/250,/0/default.jpg",/img/derivatives/iiif/obj102/manifest.json
obj103,Univac 9400 System Page 19,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_19,,102,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj103/full/250,/0/default.jpg",/img/derivatives/iiif/obj103/manifest.json
obj104,Univac 9400 System Page 20,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_20,,103,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj104/full/250,/0/default.jpg",/img/derivatives/iiif/obj104/manifest.json
obj105,Univac 9400 System Page 21,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_21,,104,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj105/full/250,/0/default.jpg",/img/derivatives/iiif/obj105/manifest.json
obj106,Univac 9400 System Page 22,Sperry Rand Corporation. Univac Data Processing Division,1969,60s,,brochure,univac_9400_1969_Page_22,,105,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj106/full/250,/0/default.jpg",/img/derivatives/iiif/obj106/manifest.json
obj107,Univac Uniscope 300 Page 3,Sperry Rand Corporation. Univac Data Processing Division,1960,60s,,brochure,univac_uniscope-300_1960_Page_03,,106,qatar_item,temp_collection,"",""
